['location', 'city', 'country', 'utc', 'local', 'parameter', 'value', 'unit', 'latitude', 'longitude', 'attribution'],,
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T18:00:00.000Z', '2020-02-09T13:00:00-05:00', 'o3', '0.035', 'ppm', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Odiorne State Park', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T18:00:00.000Z', '2020-02-09T13:00:00-05:00', 'o3', '0.038', 'ppm', '43.045269', '-70.713958'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T18:00:00.000Z', '2020-02-09T13:00:00-05:00', 'pm10', '10', 'µg/m³', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T18:00:00.000Z', '2020-02-09T13:00:00-05:00', 'pm25', '4.8', 'µg/m³', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T17:00:00.000Z', '2020-02-09T12:00:00-05:00', 'no2', '0.008', 'ppm', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T17:00:00.000Z', '2020-02-09T12:00:00-05:00', 'pm25', '9', 'µg/m³', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['BOSTON-KENMORE', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T17:00:00.000Z', '2020-02-09T12:00:00-05:00', 'so2', '0', 'ppm', '42.3489', '-71.097702'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T17:00:00.000Z', '2020-02-09T12:00:00-05:00', 'pm25', '6', 'µg/m³', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T17:00:00.000Z', '2020-02-09T12:00:00-05:00', 'so2', '0', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T17:00:00.000Z', '2020-02-09T12:00:00-05:00', 'so2', '0.003', 'ppm', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
